symbol,n_test,chosen_window,chosen_k,model_bal,persist_bal,edge_vs_persist_bal,baseline_return,buyhold_return,baseline_sharpe,buyhold_sharpe,baseline_trades,beats_persistence,beats_buyhold,any_policy_positive
BTC-USD,328,30,0.2,0.8708590138674884,0.8708590138674884,0.0,-0.410623216226091,-0.4772469391014105,-1.871254735696078,-1.174458543480774,6,False,True,False
ETH-USD,328,20,0.2,0.8451315228566413,0.8451315228566413,0.0,-0.16952961301260938,-0.47490701422566317,-0.13173154369305584,-0.5843480420685044,8,False,True,False
SOL-USD,328,20,0.2,0.8494234210453621,0.8494234210453621,0.0,-0.43225831459528463,-0.604474130841253,-1.0178582075565494,-0.8650823019537249,10,False,True,False
XRP-USD,328,20,0.2,0.7820373376013464,0.7820373376013464,0.0,-0.5728804204905786,-0.6078240573972755,-1.7046538584789208,-0.9645097713145566,10,False,True,False
DOGE-USD,328,30,0.2,0.8242913000977516,0.8242913000977516,0.0,-0.2783560789013598,-0.5776539311227208,-0.30547729271664426,-0.6478694377681814,4,False,True,False
ADA-USD,328,30,0.2,0.9050842482401418,0.9050842482401418,0.0,-0.3402772444273111,-0.7787978120675447,-0.6066076348008775,-1.4366374267174074,2,False,True,False
LTC-USD,328,30,0.2,0.8670579250576926,0.8670579250576926,0.0,-0.36271546711411284,-0.5643287012653954,-0.5203499787479136,-0.8790062548790849,4,False,True,False
AVAX-USD,328,30,0.2,0.8705100574712644,0.8705100574712644,0.0,-0.3968792924913084,-0.7091773829778183,-0.6083991191674472,-1.0848182775761388,4,False,True,False
LINK-USD,328,30,0.2,0.8638331365604093,0.8638331365604093,0.0,-0.22523766961210967,-0.5178669621967362,-0.21561385415741352,-0.5156826811855425,4,False,True,False
AAPL,224,20,0.2,0.8908291843383122,0.8908291843383122,0.0,0.11164837911129588,0.4299956152229456,0.7137599060318157,1.8697825932966567,7,False,False,True
NVDA,224,30,0.35,0.8702756464904802,0.8702756464904802,0.0,0.1979238801469445,0.1979238801469445,0.7472246768597335,0.7472246768597335,1,False,False,True
TSLA,224,30,0.2,0.8443152454780362,0.8443152454780362,0.0,0.03785012792304987,0.2704049149685739,0.2927167633372604,0.8382022327429739,3,False,False,True
MSFT,224,30,0.2,0.878958140253321,0.878958140253321,0.0,-0.10190491244101707,-0.1954312549506133,-0.6854350664889495,-0.7923815424845411,3,False,True,False
AMZN,224,10,0.2,0.7813486749656962,0.7813486749656962,0.0,-0.10890860832501836,0.08664353882940379,-0.3912258791627652,0.4555990039178191,16,False,False,True
SPY,224,30,0.2,0.8772476126600876,0.8772476126600876,0.0,0.06371327173096164,0.17750765507507715,0.6793810302756779,1.538465892559158,3,False,False,True
QQQ,224,20,0.2,0.811280294378886,0.811280294378886,0.0,0.1628143731565863,0.2690877649461698,1.2319978817321817,1.6341634778648508,3,False,False,True
GLD,224,20,0.35,0.7159090909090908,0.7159090909090908,0.0,0.18748558433799722,0.2812512711833124,0.9100837166017587,1.1346985322693528,2,False,False,True
TLT,224,30,0.2,0.7057205720572056,0.7057205720572056,0.0,-0.09797607447357215,0.02745252058125147,-1.5743622705210336,0.3696776633262414,4,False,False,True
USO,224,30,0.2,0.6060455486542443,0.6060455486542443,0.0,0.7502377576470098,0.7603139756048811,1.7833320467750924,1.6493557789629272,1,False,False,True
EURUSD=X,233,30,0.2,0.7463081418305298,0.7463081418305298,0.0,-0.0911517054578711,-0.019287414102680978,-1.847030150206371,-0.2938990682812762,6,False,False,False
